lan_interface_id,lan_interface_name,lan_interface_dest_type,lag_min_links,is_native_range,lan_interface_index,network_range_id,network_range_name,subnet,vlan,mdns_reflector,gateway,range_type,translated_subnet,internet_only,local_ip,dhcp_type,dhcp_ip_range,dhcp_relay_group_id,dhcp_relay_group_name,dhcp_microsegmentation
,,,,,INT_3,,Example Routed 172,10.17.2.0/24,,,10.17.0.2,Routed,172.17.1.0/24,,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_3,,Example Routed 173,10.17.3.0/24,,,10.17.0.3,Routed,,TRUE,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_3,,Example Direct 174,10.17.4.0/24,,TRUE,,Direct,172.17.3.0/24,,10.17.4.5,DHCP_RANGE,10.17.4.100-10.17.4.200,,,FALSE
,,,,,INT_3,,Example VLAN 175,10.17.5.0/24,175,,,VLAN,,,10.17.5.6,DHCP_DISABLED,,,,FALSE
,,,,,INT_3,,Example VLAN 176,10.17.6.0/24,176,,,VLAN,172.17.5.0/24,,10.17.6.1,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_3,,Example VLAN 177,10.17.7.0/24,177,,,VLAN,172.17.6.0/24,,10.17.7.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_3,,Example VLAN 178,10.17.8.0/24,178,,,VLAN,,,10.17.8.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_3,,Example VLAN 179,10.17.9.0/24,179,,,VLAN,172.17.8.0/24,,10.17.9.1,DHCP_RANGE,10.17.9.100-10.17.9.200,,,TRUE
 ,LAN 2,LAN,,TRUE,INT_6,,Native Range,10.17.10.0/24,1710,FALSE,,VLAN,,,10.17.10.1,DHCP_DISABLED,,,,FALSE
,,,,,INT_6,,Example Routed 1711,10.17.11.0/24,,,10.17.10.2,Routed,172.17.11.0/24,,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,,Example Routed 1712,10.17.12.0/24,,,10.17.10.3,Routed,,TRUE,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,,Example Direct 1713,10.17.13.0/24,,TRUE,,Direct,172.17.13.0/24,,10.17.13.1,DHCP_RANGE,10.17.13.100-10.17.13.200,,,FALSE
,,,,,INT_6,,Example VLAN 1714,10.17.14.0/24,1714,,,VLAN,,,10.17.14.1,DHCP_DISABLED,,,,FALSE
,,,,,INT_6,,Example VLAN 1715,10.17.15.0/24,1715,,,VLAN,172.17.15.0/24,,10.17.15.1,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,,Example VLAN 1716,10.17.16.0/24,1716,,,VLAN,172.17.16.0/24,,10.17.16.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,,Example VLAN 1717,10.17.17.0/24,1717,,,VLAN,,,10.17.17.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,,Example VLAN 1718,10.17.18.0/24,1718,,,VLAN,172.17.18.0/24,,10.17.18.1,DHCP_RANGE,10.17.18.100-10.17.18.200,,,TRUE
